Course,Slot,Name,Rating
Differential Equations,A1,Aarav Patel,4.2
Differential Equations,A1,Aisha Sharma,3.9
Differential Equations,A1,Akash Reddy,4.1
Differential Equations,A1,Akshay Gupta,3.8
Differential Equations,A2,Alia Khan,4.2
Differential Equations,A2,Aman Singh,3.9
Differential Equations,A2,Aanya Desai,3.8
Differential Equations,A2,Anika Joshi,4.1
Differential Equations,D1,Anil Verma,4.9
Differential Equations,D1,Anita Choudhary,4.3
Differential Equations,D1,Anjali Bhatia,3.7
Differential Equations,D2,Ankit Malhotra,3.7
Differential Equations,D2,Anushka Mehta,4.3
Differential Equations,C1,Arjun Agrawal,4.4
Differential Equations,C1,Arpita Kapoor,3.6
Differential Equations,C1,Ashok Sharma,4.5
Differential Equations,C2,Ayush Singhania,4.4
Differential Equations,C2,Bhavya Khanna,3.6
Differential Equations,C2,Bhuvan Shah,4.5
Differential Equations,E1,Chetan Shahi,3.5
Differential Equations,E1,Deepak Saxena,4.6
Differential Equations,E1,Devika Khurana,3.4
Differential Equations,E2,Dhruv Shukla,3.5
Differential Equations,E2,Disha Chopra,3.4
OOPS,B1,Divya Gupta,4.2
OOPS,B1,Ekta Rana,3.9
OOPS,B1,Faizan Khan,4.1
OOPS,B1,Gaurav Verma,3.8
OOPS,B2,Gayatri Gupta,4.2
OOPS,B2,Harshita Bajaj,3.9
OOPS,B2,Himanshu Agarwal,3.8
OOPS,B2,Ishaan Patel,4.1
OOPS,D1,Ishika Chawla,4.9
OOPS,D1,Jyoti Nair,4.3
OOPS,D1,Kavya Singh,3.7
OOPS,D2,Ketan Sharma,3.7
OOPS,D2,Kirti Suri,4.3
OOPS,C1,Komal Kapoor,4.4
OOPS,C1,Kunal Mehta,3.6
OOPS,C1,Lavanya Gupta,4.5
OOPS,C2,Madhav Malhotra,4.4
OOPS,C2,Mala Deshmukh,3.6
OOPS,C2,Manish Rathi,4.5
OOPS,E1,Meera Sharma,3.5
OOPS,E1,Mohan Das,4.6
OOPS,E1,Mohit Kapoor,3.4
OOPS,E2,Muskaan Shahi,3.5
OOPS,E2,Naina Rao,3.4
Algorithms,A1,Nandini Singh,4.2
Algorithms,A1,Natasha Sharma,3.9
Algorithms,A1,Neha Bhatia,4.1
Algorithms,A1,Nikhil Gupta,3.8
Algorithms,A2,Nisha Patel,4.2
Algorithms,A2,Pooja Choudhary,3.9
Algorithms,A2,Pranav Verma,3.8
Algorithms,A2,Prisha Kapoor,4.1
Algorithms,D1,Rajesh Sharma,4.9
Algorithms,D1,Rajiv Gupta,4.3
Algorithms,D1,Raman Khanna,3.7
Algorithms,D2,Rashmi Agarwal,3.7
Algorithms,D2,Riya Malhotra,4.3
Algorithms,C1,Rohan Saxena,4.4
Algorithms,C1,Ruchi Chawla,3.6
Algorithms,C1,Ritu Nair,4.5
Algorithms,C2,Sachin Singh,4.4
Algorithms,C2,Sahil Shah,3.6
Algorithms,C2,Samaira Patel,4.5
Algorithms,E1,Sameer Kumar,3.5
Algorithms,E1,Samridhi Kapoor,4.6
Algorithms,E1,Sanjana Rao,3.4
Algorithms,E2,Sarthak Verma,3.5
Algorithms,E2,Shalini Gupta,3.4
Physics,A1,Shivam Sharma,4.2
Physics,A1,Shreya Desai,3.9
Physics,A1,Shubham Agrawal,4.1
Physics,A1,Simran Shahi,3.8
Physics,A2,Suhani Choudhary,4.2
Physics,A2,Sunil Khurana,3.9
Physics,A2,Suraj Mehta,3.8
Physics,A2,Tanvi Bajaj,4.1
Physics,D1,Tarun Agarwal,4.9
Physics,D1,Tina Singhania,4.3
Physics,D1,Tushar Rana,3.7
Physics,D2,Udayan Verma,3.7
Physics,D2,Vaibhav Malhotra,4.3
Physics,C1,Varsha Patel,4.4
Physics,C1,Vicky Kapoor,3.6
Physics,C1,Vidya Nair,4.5
Physics,C2,Vikas Sharma,4.4
Physics,C2,Vinita Khanna,3.6
Physics,C2,Vishal Gupta,4.5
Physics,E1,Yash Shahi,3.5
Physics,E1,Yuvraj Singh,4.6
Physics,E1,Zeenat Khan,3.4
Physics,E2,Zoya Sharma,3.5
Physics,E2,Aaradhya Chawla,3.4
Calculus,A1,Aakash Verma,4.2
Calculus,A1,Aanya Kapoor,3.9
Calculus,A1,Aditya Malhotra,4.1
Calculus,A1,Aditi Gupta,3.8
Calculus,A2,Akshara Nair,4.2
Calculus,A2,Amaya Khurana,3.9
Calculus,A2,Amit Sharma,3.8
Calculus,A2,Amrita Saxena,4.1
Calculus,D1,Anamika Patel,4.9
Calculus,D1,Anaya Bhatia,4.3
Calculus,D1,Aniket Choudhary,3.7
Calculus,D2,Anisha Rathi,3.7
Calculus,D2,Anjali Agarwal,4.3
Calculus,C1,Anshu Singh,4.4
Calculus,C1,Anushri Kapoor,3.6
Calculus,C1,Arnav Verma,4.5
Calculus,C2,Aryan Khanna,4.4
Calculus,C2,Asha Sharma,3.6
Calculus,C2,Avani Mehta,4.5
Calculus,E1,Ayushi Shahi,3.5
Calculus,E1,Bhavna Rao,4.6
Calculus,E1,Charu Verma,3.4
Calculus,E2,Daksh Khanna,3.5
Calculus,E2,Devansh Gupta,3.4
Chemistry,A1,Devika Patel,4.2
Chemistry,A1,Disha Khurana,3.9
Chemistry,A1,Divyansh Sharma,4.1
Chemistry,A1,Ekansh Kapoor,3.8
Chemistry,A2,Esha Singhania,4.2
Chemistry,A2,Faisal Rana,3.9
Chemistry,A2,Gauri Bhatia,3.8
Chemistry,A2,Gopal Deshmukh,4.1
Chemistry,D1,Hema Nair,4.9
Chemistry,D1,Ila Patel,4.3
Chemistry,D1,Ira Choudhary,3.7
Chemistry,D2,Isha Khanna,3.7
Chemistry,D2,Ishan Saxena,4.3
Chemistry,C1,Jaidev Malhotra,4.4
Chemistry,C1,Jhanvi Shah,3.6
Chemistry,C1,Kajal Sharma,4.5
Chemistry,C2,Keshav Khurana,4.4
Chemistry,C2,Khushi Gupta,3.6
Chemistry,C2,Krishna Verma,4.5
Chemistry,E1,Kritika Kapoor,3.5
Chemistry,E1,Kuldeep Singh,4.6
Chemistry,E1,Lavina Shahi,3.4
Chemistry,E2,Madhavi Kapoor,3.5
Chemistry,E2,Mahi Sharma,3.4
Statistics,A1,Manan Agarwal,4.2
Statistics,A1,Manisha Gupta,3.9
Statistics,A1,Mira Bhatia,4.1
Statistics,A1,Mohit Rana,3.8
Statistics,A2,Muskan Saxena,4.2
Statistics,A2,Nandita Chawla,3.9
Statistics,A2,Navya Nair,3.8
Statistics,A2,Neil Patel,4.1
